id, time
1, 0.837
2, unt: /fs/stress2: can't find in /etc/fstab.
0.797
3, 0.788
4, 0.887
5, 0.762
6, 0.762
7, 0.751
8, 0.742
9, 0.744
10, 0.781
11, 0.769
12, 0.791
13, 0.808
14, 0.809
15, 0.757
16, 0.774
17, 0.743
18, 0.805
19, 0.822
20, 0.778
21, 0.768
22, 0.820
23, 0.784
24, 0.806
25, 0.819
26, 0.818
27, 0.818
28, 0.843
29, 0.794
30, 0.837
31, 0.848
32, 0.823
33, 0.920
34, 0.923
35, 0.853
36, 0.834
37, 0.801
38, 0.825
39, 0.848
40, 0.899
41, 0.879
42, 0.870
43, 0.913
44, 0.863
45, 0.886
46, 0.892
47, 0.923
48, 0.895
49, 0.912
50, 0.919
51, 0.878
52, 0.852
53, 0.945
54, 0.935
55, 0.884
56, 0.981
57, 0.926
58, 0.890
59, 0.890
60, 0.955
61, 0.905
62, 0.945
63, 0.967
64, 0.854
65, 0.921
66, 1.045
67, 0.974
68, 0.987
69, 1.134
70, 0.975
71, 0.946
72, 0.979
73, 0.948
74, 0.936
75, 0.924
76, 0.952
77, 0.943
78, 0.910
79, 0.982
80, 0.914
81, 0.916
82, 0.938
83, 0.874
84, 0.938
85, 0.961
86, 0.974
87, 0.950
88, 0.963
89, 1.013
90, 0.943
91, 1.054
92, 0.958
93, 1.060
94, 1.033
95, 1.183
96, 1.007
97, 1.071
98, 1.094
99, 0.941
100, 0.991
101, 1.005
102, 0.988
103, 0.959
104, 1.074
105, 1.014
106, 1.102
107, 1.033
108, 1.067
109, 1.072
110, 1.137
111, 1.081
112, 1.137
113, 1.023
114, 1.026
115, 1.039
116, 1.102
117, 1.013
118, 1.068
119, 1.056
120, 1.141
121, 1.025
122, 1.135
123, 1.190
124, 1.114
125, 1.172
126, 1.126
127, 1.001
128, 1.140
129, 1.015
130, 1.151
131, 1.100
132, 1.165
133, 1.063
134, 1.234
135, 1.055
136, 1.138
137, 1.086
138, 1.224
139, 1.103
140, 1.135
141, 1.096
142, 1.163
143, 1.135
144, 1.213
145, 1.105
146, 1.211
147, 1.210
148, 1.277
149, 1.157
150, 1.212
