id, time
1, 0.617
2, 0.501
3, 0.541
4, 0.481
5, 0.466
6, 0.483
7, 0.520
8, 0.531
9, 0.506
10, 0.448
11, 0.470
12, 0.482
13, 0.481
14, 0.622
15, 0.500
16, 0.515
17, 0.525
18, 0.542
19, 0.498
20, 0.499
21, 0.503
22, 0.516
23, 0.529
24, 0.485
25, 0.546
26, 0.566
27, 0.654
28, 0.625
29, 0.507
30, 0.518
31, 0.493
32, 0.511
33, 0.503
34, 0.634
35, 0.502
36, 0.501
37, 0.547
38, 0.503
39, 0.489
40, 0.507
41, 0.511
42, 0.514
43, 0.512
44, 0.522
45, 0.505
46, 0.529
47, 0.514
48, 0.499
49, 0.568
50, 0.514
51, 0.497
52, 0.539
53, 0.510
54, 0.552
55, 0.519
56, 0.551
57, 0.549
58, 0.508
59, 0.543
60, 0.498
61, 0.499
62, 0.513
63, 0.584
64, 0.630
65, 0.508
66, 0.649
67, 0.491
68, 0.688
69, 0.566
70, 0.507
71, 0.480
72, 0.529
73, 0.527
74, 0.513
75, 0.543
76, 0.514
77, 0.627
78, 0.557
79, 0.671
80, 0.659
81, 0.507
82, 0.505
83, 0.536
84, 0.518
85, 0.603
86, 0.511
87, 0.551
88, 0.572
89, 0.702
90, 0.548
91, 0.520
92, 0.506
93, 0.537
94, 0.525
95, 0.574
96, 0.552
97, 0.526
98, 0.551
99, 0.534
100, 0.547
101, 0.501
102, 0.522
103, 0.511
104, 0.590
105, 0.586
106, 0.518
107, 0.544
108, 0.568
109, 0.539
110, 0.533
111, 0.601
112, 0.532
113, 0.588
114, 0.640
115, 0.542
116, 0.676
117, 0.543
118, 0.524
119, 0.494
120, 0.522
121, 0.515
122, 0.518
123, 0.508
124, 0.547
125, 0.538
126, 0.491
127, 0.501
128, 0.491
129, 0.498
130, 0.502
131, 0.500
132, 0.514
133, 0.520
134, 0.540
135, 0.502
136, 0.588
137, 0.552
138, 0.597
139, 0.523
140, 0.663
141, 0.618
142, 0.526
143, 0.561
144, 0.585
145, 0.515
146, 0.530
147, 0.511
148, 0.499
149, 0.523
150, 0.511
