id, time
1, 1.045
2, 1.149
3, 1.161
4, 1.188
5, 1.247
6, 1.221
7, 1.233
8, 1.221
9, 1.297
10, 1.289
11, 1.326
12, 1.333
13, 1.316
14, 1.363
15, 1.381
16, 1.433
17, 1.431
18, 1.464
19, 1.487
20, 1.524
21, 1.519
22, 1.543
23, 1.609
24, 1.689
25, 1.622
26, 1.697
27, 1.467
28, 1.667
29, 1.737
30, 1.512
31, 1.750
32, 1.507
33, 1.735
34, 1.566
35, 1.901
36, 1.578
37, 1.813
38, 1.612
39, 2.003
40, 1.723
41, 1.814
42, 1.859
43, 1.896
44, 1.901
45, 1.875
46, 1.964
47, 2.186
48, 1.891
49, 2.068
50, 2.087
51, 2.192
52, 1.885
53, 2.121
54, 2.190
55, 2.170
56, 2.120
57, 2.177
58, 2.066
59, 2.397
60, 2.170
61, 2.208
62, 2.269
63, 2.297
64, 2.385
65, 2.262
66, 2.346
67, 2.571
68, 2.845
69, 2.757
70, 2.955
71, 2.592
72, 2.625
73, 2.483
74, 2.779
75, 2.797
76, 2.609
77, 2.777
78, 3.174
79, 2.680
80, 3.169
81, 2.801
82, 3.245
83, 2.666
84, 2.901
85, 2.872
86, 3.155
87, 2.702
88, 3.077
89, 2.921
90, 3.222
91, 2.875
92, 3.291
93, 3.346
94, 3.019
95, 2.982
96, 3.395
97, 2.939
98, 4.006
99, 3.469
100, 3.587
