id, time
1, 0.596
2, 0.432
3, 0.447
4, 0.445
5, 0.447
6, 0.438
7, 0.435
8, 0.452
9, 0.432
10, 0.441
11, 0.435
12, 0.455
13, 0.482
14, 0.547
15, 0.527
16, 0.511
17, 0.492
18, 0.485
19, 0.461
20, 0.475
21, 0.471
22, 0.481
23, 0.475
24, 0.480
25, 0.485
26, 0.529
27, 0.484
28, 0.487
29, 0.514
30, 0.490
31, 0.504
32, 0.509
33, 0.490
34, 0.477
35, 0.462
36, 0.489
37, 0.485
38, 0.500
39, 0.488
40, 0.491
41, 0.482
42, 0.500
43, 0.499
44, 0.480
45, 0.477
46, 0.481
47, 0.494
48, 0.498
49, 0.493
50, 0.503
51, 0.489
52, 0.494
53, 0.492
54, 0.482
55, 0.485
56, 0.475
57, 0.474
58, 0.488
59, 0.492
60, 0.486
61, 0.477
62, 0.488
63, 0.501
64, 0.495
65, 0.492
66, 0.483
67, 0.472
68, 0.492
69, 0.484
70, 0.485
71, 0.488
72, 0.495
73, 0.503
74, 0.478
75, 0.496
76, 0.489
77, 0.493
78, 0.484
79, 0.481
80, 0.490
81, 0.500
82, 0.489
83, 0.506
84, 0.491
85, 0.491
86, 0.492
87, 0.493
88, 0.485
89, 0.492
90, 0.491
91, 0.491
92, 0.484
93, 0.507
94, 0.486
95, 0.482
96, 0.483
97, 0.502
98, 0.473
99, 0.488
100, 0.479
