id, time
1, 1.022
2, 1.140
3, 1.125
4, 1.119
5, 1.191
6, 1.181
7, 1.241
8, 1.257
9, 1.317
10, 1.336
11, 1.323
12, 1.376
13, mount: /fs/stress13: can't find in /etc/fstab.
1.330
14, 1.326
15, 1.369
16, 1.396
17, 1.480
18, 1.465
19, 1.451
20, 1.499
21, 1.540
22, 1.676
23, 1.594
24, 1.679
25, 1.475
26, 1.643
27, 1.637
28, 1.527
29, 1.673
30, 1.494
31, 1.653
32, 1.525
33, 1.753
34, 1.638
35, 1.792
36, 1.647
37, 1.697
38, 1.624
39, 1.866
40, 1.645
41, 1.956
42, 1.719
43, 1.839
44, 1.922
45, 1.903
46, 1.875
47, 2.009
48, 1.885
49, 2.041
50, 1.945
51, 1.960
52, 2.083
53, 2.010
54, 2.184
55, 2.111
56, 2.143
57, 2.041
58, 2.190
59, 2.164
60, 2.282
61, 2.176
62, 2.298
63, 2.013
64, 2.449
65, 2.306
66, 2.485
67, 2.435
68, 2.444
69, 2.590
70, 2.590
71, 2.489
72, 2.540
73, 2.534
74, 2.597
75, 2.632
76, 2.499
77, 2.592
78, 2.658
79, 2.573
80, 2.692
81, 2.558
82, 2.669
83, 2.513
84, 2.901
85, 2.557
86, 3.147
87, 2.593
88, 2.991
89, 2.726
90, 2.922
91, 2.629
92, 3.265
93, 2.714
94, 3.145
95, 2.737
96, 3.281
97, 2.866
98, 3.181
99, 2.685
100, 4.097
