id, time
1, 0.624
2, 0.487
3, 0.496
4, 0.448
5, 0.447
6, 0.493
7, 0.492
8, 0.478
9, 0.481
10, 0.460
11, 0.442
12, 0.481
13, 0.501
14, 0.501
15, 0.522
16, 0.503
17, 0.478
18, 0.466
19, 0.479
20, 0.482
21, 0.491
22, 0.490
23, 0.481
24, 0.486
25, 0.484
26, 0.481
27, 0.471
28, 0.474
29, 0.480
30, 0.474
31, 0.470
32, 0.491
33, 0.482
34, 0.497
35, 0.479
36, 0.478
37, 0.479
38, 0.481
39, 0.503
40, 0.506
41, 0.540
42, 0.523
43, 0.525
44, 0.483
45, 0.480
46, 0.482
47, 0.487
48, 0.498
49, 0.497
50, 0.512
51, 0.491
52, 0.498
53, 0.509
54, 0.491
55, 0.481
56, 0.509
57, 0.473
58, 0.496
59, 0.492
60, 0.497
61, 0.486
62, 0.488
63, 0.490
64, 0.494
65, 0.496
66, 0.494
67, 0.513
68, 0.505
69, 0.499
70, 0.495
71, 0.512
72, 0.495
73, 0.503
74, 0.476
75, 0.506
76, 0.482
77, 0.485
78, 0.476
79, 0.482
80, 0.491
81, 0.483
82, 0.537
83, 0.481
84, 0.504
85, 0.503
86, 0.515
87, 0.502
88, 0.538
89, 0.516
90, 0.502
91, 0.506
92, 0.547
93, 0.518
94, 0.528
95, 0.548
96, 0.503
97, 0.545
98, 0.526
99, 0.506
100, 0.490
