id, time
1, 0.608
2, 0.470
3, 0.475
4, 0.450
5, 0.442
6, 0.468
7, 0.482
8, 0.483
9, 0.468
10, 0.465
11, 0.439
12, 0.433
13, 0.437
14, 0.502
15, 0.563
16, 0.502
17, 0.481
18, 0.475
19, 0.498
20, 0.471
21, 0.474
22, 0.479
23, 0.474
24, 0.471
25, 0.484
26, 0.481
27, 0.478
28, 0.475
29, 0.470
30, 0.477
31, 0.471
32, 0.487
33, 0.459
34, 0.472
35, 0.489
36, 0.476
37, 0.484
38, 0.468
39, 0.477
40, 0.477
41, 0.467
42, 0.484
43, 0.492
44, 0.476
45, 0.484
46, 0.490
47, 0.487
48, 0.491
49, 0.484
50, 0.499
51, 0.487
52, 0.509
53, 0.486
54, 0.500
55, 0.485
56, 0.476
57, 0.470
58, 0.485
59, 0.495
60, 0.485
61, 0.497
62, 0.534
63, 0.505
64, 0.493
65, 0.486
66, 0.491
67, 0.490
68, 0.511
69, 0.501
70, 0.499
71, 0.553
72, 0.506
73, 0.492
74, 0.498
75, 0.482
76, 0.488
77, 0.477
78, 0.489
79, 0.489
80, 0.471
81, 0.497
82, 0.480
83, 0.502
84, 0.483
85, 0.507
86, 0.482
87, 0.500
88, 0.492
89, 0.489
90, 0.511
91, 0.525
92, 0.507
93, 0.497
94, 0.543
95, 0.482
96, 0.498
97, 0.514
98, 0.507
99, 0.503
100, 0.509
