id, time
1, 0.991
2, 1.049
3, mount: /fs/stress3: can't find in /etc/fstab.
1.050
4, 1.102
5, 1.130
6, 1.193
7, 1.150
8, 1.106
9, 1.188
10, 1.326
11, 1.218
12, 1.295
13, 1.364
14, 1.332
15, 1.479
16, 1.368
17, 1.411
18, 1.436
19, 1.382
20, 1.440
21, 1.565
22, 1.472
23, 1.520
24, 1.524
25, 1.443
26, 1.531
27, 1.388
28, 1.629
29, 1.457
30, mount: /fs/stress30: can't find in /etc/fstab.
1.560
31, 1.536
32, 1.642
33, 1.536
34, 1.805
35, 1.577
36, 2.000
37, 1.714
38, 1.833
39, 1.728
40, 1.896
41, 1.614
42, 2.025
43, 1.860
44, 1.948
45, 1.898
46, 1.875
47, 1.918
48, 2.060
49, 2.058
50, 2.109
