id, time
1, 0.680
2, 0.463
3, 0.486
4, 0.436
5, 0.495
6, 0.486
7, 0.514
8, 0.483
9, 0.471
10, 0.591
11, 0.531
12, 0.495
13, 0.527
14, 0.540
15, 0.522
16, 0.539
17, 0.521
18, 0.501
19, 0.497
20, 0.503
21, 0.493
22, 0.501
23, 0.649
24, 0.502
25, 0.490
26, 0.482
27, 0.493
28, 0.515
29, 0.485
30, 0.596
31, 0.524
32, 0.512
33, 0.501
34, 0.506
35, 0.499
36, 0.529
37, 0.490
38, 0.479
39, 0.515
40, 0.537
41, 0.506
42, 0.500
43, 0.495
44, 0.482
45, 0.498
46, 0.558
47, 0.505
48, 0.521
49, 0.533
50, 0.504
